ID;Name;Sex;PeoplesCount
20411;Адыка;ЖЕН.;6
20413;Адыль;ЖЕН.;393
20415;Адыля;ЖЕН.;52
20416;Адына;ЖЕН.;102
20417;Адьдина;ЖЕН.;1
20418;Адья;ЖЕН.;11
20419;Адьяа;ЖЕН.;14
20420;Адэла;ЖЕН.;12
20421;Адэлина;ЖЕН.;1000
20422;Адэлия;ЖЕН.;268
20423;Адэлла;ЖЕН.;21
20424;Адэль;ЖЕН.;957
20425;Адэльфина;ЖЕН.;1
20426;Адэля;ЖЕН.;1000
20428;Адя;ЖЕН.;243
20429;Аежела;ЖЕН.;4
20430;Аежелика;ЖЕН.;14
20432;Аелита;ЖЕН.;128
20433;Аель;ЖЕН.;27
20435;Аеонтина;ЖЕН.;1
20436;Аера;ЖЕН.;25
20438;Аесе;ЖЕН.;3
20439;Аета;ЖЕН.;6
20440;Ажа;ЖЕН.;104
20442;Ажабика;ЖЕН.;7
20443;Ажабике;ЖЕН.;3
20444;Ажайбике;ЖЕН.;1
20445;Ажай;ЖЕН.;121
20446;Ажалия;ЖЕН.;1
20447;Ажам;ЖЕН.;50
20450;Ажаркуль;ЖЕН.;55
20451;Ажбета;ЖЕН.;3
20452;Ажела;ЖЕН.;86
20453;Ажелика;ЖЕН.;279
20454;Ажелина;ЖЕН.;13
20455;Ажим;ЖЕН.;445
20456;Ажий;ЖЕН.;18
20457;Ажина;ЖЕН.;37
20461;Аза;ЖЕН.;10000
20462;Азада;ЖЕН.;451
20463;Азазель;ЖЕН.;515
20464;Азаида;ЖЕН.;2
20465;Азалея;ЖЕН.;2
20466;Азалина;ЖЕН.;308
20467;Азалия;ЖЕН.;15000
20468;Азанетта;ЖЕН.;1
20471;Азарина;ЖЕН.;702
20472;Азарита;ЖЕН.;1
20473;Азария;ЖЕН.;133
20474;Азаря;ЖЕН.;7
20477;Азгануш;ЖЕН.;34
20478;Азгара;ЖЕН.;3
20480;Азелия;ЖЕН.;27
20481;Азелла;ЖЕН.;33
20482;Азель;ЖЕН.;249
20483;Азельма;ЖЕН.;3
20484;Азета;ЖЕН.;10
20485;Азетта;ЖЕН.;2
20486;Азза;ЖЕН.;287
20487;Азида;ЖЕН.;231
20489;Азие;ЖЕН.;4
20490;Азиза;ЖЕН.;21000
20491;Азизат;ЖЕН.;57
20492;Азизага;ЖЕН.;59
20493;Азипат;ЖЕН.;16
20495;Азизе;ЖЕН.;288
20496;Азизилла;ЖЕН.;3
20498;Азизула;ЖЕН.;6
20499;Азизюля;ЖЕН.;2
20500;Азизя;ЖЕН.;4
20501;Азика;ЖЕН.;145
20502;Азилия;ЖЕН.;19
20503;Азиля;ЖЕН.;186
20504;Азима;ЖЕН.;985
20505;Азимат;ЖЕН.;11
20506;Азиме;ЖЕН.;112
20507;Азина;ЖЕН.;1000
20508;Азинат;ЖЕН.;84
20509;Азира;ЖЕН.;193
20510;Азиса;ЖЕН.;26
20511;Азита;ЖЕН.;17
20512;Азифе;ЖЕН.;4
20513;Азия;ЖЕН.;382000
20514;Азмела;ЖЕН.;1
20515;Азмина;ЖЕН.;29
20516;Азминат;ЖЕН.;1
20517;Азода;ЖЕН.;116
20519;Азольда;ЖЕН.;13
20520;Азора;ЖЕН.;28
20521;Азорина;ЖЕН.;83
20522;Азория;ЖЕН.;4
20523;Азука;ЖЕН.;37
20524;Азулла;ЖЕН.;2
20525;Азя;ЖЕН.;150
20526;Аиана;ЖЕН.;10
20527;Аига;ЖЕН.;7
20528;Аигуль;ЖЕН.;390
20529;Аида;ЖЕН.;66000
20531;Аиза;ЖЕН.;504
20532;Аила;ЖЕН.;30
20533;Аилада;ЖЕН.;2
20534;Аилина;ЖЕН.;50
20535;Аилита;ЖЕН.;26
20536;Аилия;ЖЕН.;11
20538;Аина;ЖЕН.;3000
20539;Аине;ЖЕН.;2
20540;Аиниша;ЖЕН.;3
20541;Аинна;ЖЕН.;37
20543;Аира;ЖЕН.;137
20545;Аиса;ЖЕН.;241
20546;Аисия;ЖЕН.;13
20547;Аисма;ЖЕН.;1
20548;Аися;ЖЕН.;9
20549;Аита;ЖЕН.;83
20550;Аите;ЖЕН.;5
20553;Аиша;ЖЕН.;9000
